# Subject join rows dropped when rekeying onto taxonomy_master.id
# Generated by 13_subject_joins_master_id.sql.
#
# A subject that exists at several levels cannot be pinned to one
# taxonomy_master row without level information. Rather than pick a level
# arbitrarily, these rows were dropped. The jobs re-pick their subjects on
# next edit (see NOTES-T5-subjects.md); jobs.subjects still holds the
# original free text, so nothing is lost.
#
# format: source_table | source_id | subject_slug | candidates | level_hint | reason

job_subjects | 38c12877-6930-41de-97af-26913e1f61c0 | arabic | 11 | Semester1-6 | subject exists at 11 levels and class_level "Semester1-6" matches no taxonomy level
job_subjects | 1bdc30da-33d3-4748-a5f7-db8a5641a2de | artificial-intelligence | 5 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 5 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | 637843f7-043b-4122-b56e-3c765a5b0356 | artificial-intelligence | 5 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 5 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | b8ff8dfd-8ebb-47ae-a325-00dbece408eb | english | 11 | Semester1-6 | subject exists at 11 levels and class_level "Semester1-6" matches no taxonomy level
job_subjects | 1ad4fceb-56f1-4bd6-82ae-70479f347b56 | general-knowledge | 3 | Pre Nursery / Play Group / KG - I | subject exists at 3 levels and class_level "Pre Nursery / Play Group / KG - I" matches no taxonomy level
job_subjects | 1bdc30da-33d3-4748-a5f7-db8a5641a2de | general-knowledge | 3 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 3 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | 637843f7-043b-4122-b56e-3c765a5b0356 | general-knowledge | 3 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 3 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | 297059fe-50f0-44ef-b134-9a6d11ea57a9 | mathematics | 14 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 14 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | 1bdc30da-33d3-4748-a5f7-db8a5641a2de | music | 7 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 7 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | 637843f7-043b-4122-b56e-3c765a5b0356 | music | 7 | Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5 | subject exists at 7 levels and class_level "Grade-1, Grade-2, Grade-3,Grade-4 and Grade-5" matches no taxonomy level
job_subjects | dd541dfd-94b3-4f28-aea2-e01542558225 | nazra-quran | 3 | Semester1-6 | subject exists at 3 levels and class_level "Semester1-6" matches no taxonomy level
job_subjects | f9a47e46-ab5c-4c60-8f28-6d455bafa79f | pashto | 4 | Grade-6, Grade-7, and Grade-8 | subject exists at 4 levels and class_level "Grade-6, Grade-7, and Grade-8" matches no taxonomy level
job_subjects | c82bd1f4-ee16-4426-9527-b6882d97fec3 | persian | 5 | FA ( Part I & Part II) | subject exists at 5 levels and class_level "FA ( Part I & Part II)" matches no taxonomy level
job_subjects | 71165b6a-e9f8-4f92-87dc-502b9ff83e0c | phonics | 2 | Pre Nursery / Play Group / KG - I | subject exists at 2 levels and class_level "Pre Nursery / Play Group / KG - I" matches no taxonomy level
job_subjects | bd0f248c-3305-405b-a422-dcf81b51888f | social-work | 3 | Semester1-6 | subject exists at 3 levels and class_level "Semester1-6" matches no taxonomy level
job_subjects | 6f7599d1-8c45-4b61-8e18-0b325674ebe6 | zoology | 3 | Semester1-6 | subject exists at 3 levels and class_level "Semester1-6" matches no taxonomy level
tutor_subjects | 11111111-1111-1111-1111-111111111111 | mathematics | 14 | (none) | subject exists at 14 levels and the tutor has no class_levels to disambiguate
tutor_subjects | 180b9dc4-33ba-4d83-82d8-970457c607b9 | mathematics | 14 | (none) | subject exists at 14 levels and the tutor has no class_levels to disambiguate
tutor_subjects | 22222222-2222-2222-2222-222222222222 | mathematics | 14 | (none) | subject exists at 14 levels and the tutor has no class_levels to disambiguate
